type,count,amount,name,year,quarter,state
TOTAL,14432,29350410.444769997,kolasib district,2020,2,mizoram
TOTAL,8480,20817381.347150296,champhai district,2020,2,mizoram
TOTAL,6775,19711305.598098427,saiha district,2020,2,mizoram
TOTAL,10351,25197852.93925553,serchhip district,2020,3,mizoram
TOTAL,136460,413175918.97011656,aizawl district,2020,3,mizoram
TOTAL,30971,83270436.83501583,lunglei district,2020,3,mizoram
TOTAL,17199,28176447.030524082,mamit district,2020,3,mizoram
TOTAL,25540,62210090.16784428,lawngtlai district,2020,3,mizoram
TOTAL,15789,35985260.690991834,kolasib district,2020,3,mizoram
TOTAL,11286,35131298.73356742,champhai district,2020,3,mizoram
TOTAL,7107,24796870.137284856,saiha district,2020,3,mizoram
TOTAL,14804,39531569.17092189,serchhip district,2020,4,mizoram
TOTAL,166039,532069401.3249176,aizawl district,2020,4,mizoram
TOTAL,41847,117007241.0363552,lunglei district,2020,4,mizoram
TOTAL,21383,48253980.828914225,mamit district,2020,4,mizoram
TOTAL,32803,102209937.65580332,lawngtlai district,2020,4,mizoram
TOTAL,21149,56473537.93676706,kolasib district,2020,4,mizoram
TOTAL,15587,50140873.98671983,champhai district,2020,4,mizoram
TOTAL,8995,40835573.753559604,saiha district,2020,4,mizoram
TOTAL,12877,42644166.311948836,serchhip district,2021,1,mizoram
TOTAL,182220,609359098.2421973,aizawl district,2021,1,mizoram
TOTAL,40131,133262456.0307964,lunglei district,2021,1,mizoram
TOTAL,18670,51226307.47618229,mamit district,2021,1,mizoram
TOTAL,31658,106154307.36708316,lawngtlai district,2021,1,mizoram
TOTAL,22212,71207105.1965721,kolasib district,2021,1,mizoram
TOTAL,13769,51873702.94129371,champhai district,2021,1,mizoram
TOTAL,8038,35378443.37986354,saiha district,2021,1,mizoram
TOTAL,15664,39541209.17776598,serchhip district,2021,2,mizoram
TOTAL,222893,635733236.9899334,aizawl district,2021,2,mizoram
TOTAL,46084,125798685.12915294,lunglei district,2021,2,mizoram
TOTAL,20464,51797964.37426141,mamit district,2021,2,mizoram
TOTAL,38779,110575273.85365936,lawngtlai district,2021,2,mizoram
TOTAL,23910,66068598.117042184,kolasib district,2021,2,mizoram
TOTAL,15913,52313277.17825453,champhai district,2021,2,mizoram
TOTAL,10633,41046228.48202239,saiha district,2021,2,mizoram
TOTAL,19902,54838260.2224697,serchhip district,2021,3,mizoram
TOTAL,276340,865537331.9432542,aizawl district,2021,3,mizoram
TOTAL,55054,157303231.44253838,lunglei district,2021,3,mizoram
TOTAL,22878,65856355.67206964,mamit district,2021,3,mizoram
TOTAL,44431,130625157.50867543,lawngtlai district,2021,3,mizoram
TOTAL,30064,84157970.6374866,kolasib district,2021,3,mizoram
TOTAL,18678,71974971.0552853,champhai district,2021,3,mizoram
TOTAL,11182,43455371.73017335,saiha district,2021,3,mizoram
TOTAL,21092,58127189.330209725,serchhip district,2021,4,mizoram
TOTAL,317555,1021257676.3595349,aizawl district,2021,4,mizoram
TOTAL,62996,193267816.72749364,lunglei district,2021,4,mizoram
TOTAL,28553,76910208.12744261,mamit district,2021,4,mizoram
TOTAL,47572,152734951.83765793,lawngtlai district,2021,4,mizoram
TOTAL,37950,113743718.86428112,kolasib district,2021,4,mizoram
TOTAL,25625,100501231.3416473,champhai district,2021,4,mizoram
TOTAL,11986,54122948.934775494,saiha district,2021,4,mizoram
TOTAL,1851,2962723.1216541342,mon district,2018,1,nagaland
TOTAL,1397,1347986.0495203384,phek district,2018,1,nagaland
TOTAL,605,547262.5934366982,longleng district,2018,1,nagaland
TOTAL,3428,5653655.116717219,mokokchung district,2018,1,nagaland
TOTAL,255,558831.611179116,kiphire district,2018,1,nagaland
TOTAL,11070,20744033.408631545,kohima district,2018,1,nagaland
TOTAL,1861,2939509.973736079,tuensang district,2018,1,nagaland
TOTAL,587,1228042.9089448638,peren district,2018,1,nagaland
TOTAL,18449,38330087.582417,dimapur district,2018,1,nagaland
TOTAL,1700,1750900.6459182375,zunheboto district,2018,1,nagaland
TOTAL,1642,1942858.0739698592,wokha district,2018,1,nagaland
TOTAL,2652,5592193.661835907,mon district,2018,2,nagaland
TOTAL,2058,3265939.4166390533,phek district,2018,2,nagaland
TOTAL,526,606015.5837374015,longleng district,2018,2,nagaland
TOTAL,4472,6880664.952623585,mokokchung district,2018,2,nagaland
TOTAL,497,1392292.112173449,kiphire district,2018,2,nagaland
TOTAL,14759,41958069.334260106,kohima district,2018,2,nagaland
TOTAL,2914,5272196.387110953,tuensang district,2018,2,nagaland
TOTAL,1151,3132544.259220087,peren district,2018,2,nagaland
TOTAL,31758,78472133.75014433,dimapur district,2018,2,nagaland
TOTAL,1961,3800720.2210925473,zunheboto district,2018,2,nagaland
TOTAL,2851,2952808.201464099,wokha district,2018,2,nagaland
TOTAL,4368,10680645.611665618,mon district,2018,3,nagaland
TOTAL,2951,4193127.0654867776,phek district,2018,3,nagaland
TOTAL,529,941537.1576544917,longleng district,2018,3,nagaland
TOTAL,7245,14438372.118668642,mokokchung district,2018,3,nagaland
TOTAL,1527,1911400.518954896,kiphire district,2018,3,nagaland
TOTAL,20678,62621606.402096175,kohima district,2018,3,nagaland
TOTAL,4657,8672814.868232306,tuensang district,2018,3,nagaland
TOTAL,1349,3565504.3902161866,peren district,2018,3,nagaland
TOTAL,44383,122676685.88107637,dimapur district,2018,3,nagaland
TOTAL,3370,6042931.988762021,zunheboto district,2018,3,nagaland
TOTAL,3314,6048116.93383928,wokha district,2018,3,nagaland
TOTAL,7966,25315124.34343365,mon district,2018,4,nagaland
TOTAL,3615,6547794.25416629,phek district,2018,4,nagaland
TOTAL,907,1946732.363531557,longleng district,2018,4,nagaland
TOTAL,10673,21026422.570598673,mokokchung district,2018,4,nagaland
TOTAL,2008,3577703.4535531667,kiphire district,2018,4,nagaland
TOTAL,28604,84867917.08908927,kohima district,2018,4,nagaland
TOTAL,5518,14443409.698866291,tuensang district,2018,4,nagaland
TOTAL,2071,6712394.6749083325,peren district,2018,4,nagaland
TOTAL,68046,202172094.6763664,dimapur district,2018,4,nagaland
TOTAL,4966,12449027.885359714,zunheboto district,2018,4,nagaland
TOTAL,4959,8954846.535749527,wokha district,2018,4,nagaland
TOTAL,9694,32110056.274005987,mon district,2019,1,nagaland
TOTAL,5062,12361140.846022058,phek district,2019,1,nagaland
TOTAL,1593,2777167.98784134,longleng district,2019,1,nagaland
TOTAL,11808,22421067.66638949,mokokchung district,2019,1,nagaland
TOTAL,2103,4550857.60564944,kiphire district,2019,1,nagaland
TOTAL,34373,93498426.90985829,kohima district,2019,1,nagaland
TOTAL,5962,15964521.798527543,tuensang district,2019,1,nagaland
TOTAL,2689,6473296.665928305,peren district,2019,1,nagaland
TOTAL,80741,222202606.82928655,dimapur district,2019,1,nagaland
TOTAL,8860,16471426.45522037,zunheboto district,2019,1,nagaland
TOTAL,5694,13111143.37360057,wokha district,2019,1,nagaland
TOTAL,10564,30077446.323373545,mon district,2019,2,nagaland
TOTAL,5232,11255799.070045212,phek district,2019,2,nagaland
TOTAL,1530,3480572.778610671,longleng district,2019,2,nagaland
TOTAL,11894,28979287.99164507,mokokchung district,2019,2,nagaland
TOTAL,2784,6816990.793895305,kiphire district,2019,2,nagaland
TOTAL,35959,102757262.27285326,kohima district,2019,2,nagaland
TOTAL,6027,16464089.793604637,tuensang district,2019,2,nagaland
TOTAL,2715,6719423.986701602,peren district,2019,2,nagaland
TOTAL,86518,258070892.01001915,dimapur district,2019,2,nagaland
TOTAL,19752,43001192.88793166,zunheboto district,2019,2,nagaland
TOTAL,5778,12443724.249822928,wokha district,2019,2,nagaland
TOTAL,17134,36965971.955441214,mon district,2019,3,nagaland
TOTAL,8985,20348950.00705442,phek district,2019,3,nagaland
TOTAL,2839,5855246.426887816,longleng district,2019,3,nagaland
TOTAL,17903,35622564.400276825,mokokchung district,2019,3,nagaland
TOTAL,4847,7311019.911698776,kiphire district,2019,3,nagaland
TOTAL,50183,133224817.54316024,kohima district,2019,3,nagaland
TOTAL,9274,19613846.131520323,tuensang district,2019,3,nagaland
TOTAL,4277,8062310.434825074,peren district,2019,3,nagaland
TOTAL,117140,307103749.65803885,dimapur district,2019,3,nagaland
TOTAL,20054,60553998.319401294,zunheboto district,2019,3,nagaland
TOTAL,9242,16293996.925105993,wokha district,2019,3,nagaland
TOTAL,23615,52231884.395646855,mon district,2019,4,nagaland
TOTAL,11054,24095426.02126249,phek district,2019,4,nagaland
TOTAL,3517,7854502.106059718,longleng district,2019,4,nagaland
TOTAL,21048,44939725.57083222,mokokchung district,2019,4,nagaland
TOTAL,5522,11787954.886359874,kiphire district,2019,4,nagaland
TOTAL,58317,160227363.64728707,kohima district,2019,4,nagaland
TOTAL,11148,25427823.369834743,tuensang district,2019,4,nagaland
TOTAL,5148,10804065.561619181,peren district,2019,4,nagaland
TOTAL,142922,401874104.2973213,dimapur district,2019,4,nagaland
TOTAL,23374,73875655.63763416,zunheboto district,2019,4,nagaland
TOTAL,11505,21418632.85491927,wokha district,2019,4,nagaland
TOTAL,28668,56777615.99405684,mon district,2020,1,nagaland
TOTAL,13124,24135509.70029243,phek district,2020,1,nagaland
TOTAL,4576,8570430.18028273,longleng district,2020,1,nagaland
TOTAL,22949,46458137.86198041,mokokchung district,2020,1,nagaland
TOTAL,8571,15127296.52352846,kiphire district,2020,1,nagaland
TOTAL,68246,160485650.56697804,kohima district,2020,1,nagaland
TOTAL,13234,29281215.251009904,tuensang district,2020,1,nagaland
TOTAL,6691,10449509.21674379,peren district,2020,1,nagaland
TOTAL,185428,497123725.474146,dimapur district,2020,1,nagaland
TOTAL,12812,23929943.338847376,zunheboto district,2020,1,nagaland
TOTAL,13752,22440994.626501698,wokha district,2020,1,nagaland
TOTAL,42193,72681549.71193531,mon district,2020,2,nagaland
TOTAL,21862,39562622.89144808,phek district,2020,2,nagaland
TOTAL,8262,14490014.337710015,longleng district,2020,2,nagaland
TOTAL,34034,59551064.18105075,mokokchung district,2020,2,nagaland
TOTAL,11097,21770604.465474278,kiphire district,2020,2,nagaland
TOTAL,98852,235056409.18486094,kohima district,2020,2,nagaland
TOTAL,19823,47286166.881044514,tuensang district,2020,2,nagaland
TOTAL,11337,17709802.025017656,peren district,2020,2,nagaland
TOTAL,232533,564581175.022531,dimapur district,2020,2,nagaland
TOTAL,18146,34250745.54624535,zunheboto district,2020,2,nagaland
TOTAL,19427,30734350.100484923,wokha district,2020,2,nagaland
TOTAL,53050,85955858.55902226,mon district,2020,3,nagaland
TOTAL,26004,53114140.440056756,phek district,2020,3,nagaland
TOTAL,10017,19598582.179873697,longleng district,2020,3,nagaland
TOTAL,43164,83590575.72604279,mokokchung district,2020,3,nagaland
TOTAL,12462,29101447.582055062,kiphire district,2020,3,nagaland
TOTAL,149404,438659891.11601055,kohima district,2020,3,nagaland
TOTAL,25719,59266466.87175438,tuensang district,2020,3,nagaland
TOTAL,13958,25258376.20171611,peren district,2020,3,nagaland
TOTAL,352179,1122771447.128912,dimapur district,2020,3,nagaland
TOTAL,21556,44845371.93193043,zunheboto district,2020,3,nagaland
TOTAL,28806,47486985.41741961,wokha district,2020,3,nagaland
TOTAL,51806,149055802.79705113,mon district,2020,4,nagaland
TOTAL,28612,75169716.47521709,phek district,2020,4,nagaland
TOTAL,13202,34760738.476595946,longleng district,2020,4,nagaland
TOTAL,48813,129158623.72713925,mokokchung district,2020,4,nagaland
TOTAL,12945,38345433.69615828,kiphire district,2020,4,nagaland
TOTAL,168861,528950655.29797715,kohima district,2020,4,nagaland
TOTAL,29583,92512403.56008914,tuensang district,2020,4,nagaland
TOTAL,14947,37707510.79640248,peren district,2020,4,nagaland
TOTAL,422501,1549414048.2654047,dimapur district,2020,4,nagaland
TOTAL,23475,60794471.32764541,zunheboto district,2020,4,nagaland
TOTAL,33080,77215466.14300685,wokha district,2020,4,nagaland
TOTAL,43337,148431447.81181777,mon district,2021,1,nagaland
TOTAL,24927,86311391.9301224,phek district,2021,1,nagaland
TOTAL,12009,34735822.64446311,longleng district,2021,1,nagaland
TOTAL,43465,116937738.43409458,mokokchung district,2021,1,nagaland
TOTAL,10667,36122629.67675269,kiphire district,2021,1,nagaland
TOTAL,209442,611989486.3557233,kohima district,2021,1,nagaland
TOTAL,23643,84510754.52221692,tuensang district,2021,1,nagaland
TOTAL,12322,33575965.56407318,peren district,2021,1,nagaland
TOTAL,550985,1837044748.4900613,dimapur district,2021,1,nagaland
TOTAL,18219,51849616.04221482,zunheboto district,2021,1,nagaland
TOTAL,26881,65940883.14165088,wokha district,2021,1,nagaland
TOTAL,51055,137641682.97031063,mon district,2021,2,nagaland
TOTAL,31478,98158667.79913512,phek district,2021,2,nagaland
TOTAL,13528,39521626.841992125,longleng district,2021,2,nagaland
TOTAL,63952,152031632.47756845,mokokchung district,2021,2,nagaland
TOTAL,12223,43311509.13928214,kiphire district,2021,2,nagaland
TOTAL,274137,694940464.6072702,kohima district,2021,2,nagaland
TOTAL,27199,84823658.15124774,tuensang district,2021,2,nagaland
TOTAL,15860,42645682.011797145,peren district,2021,2,nagaland
TOTAL,585389,1726249195.1688533,dimapur district,2021,2,nagaland
TOTAL,21747,54703199.48271288,zunheboto district,2021,2,nagaland
TOTAL,34223,82266645.13170332,wokha district,2021,2,nagaland
TOTAL,56260,185806960.82773107,mon district,2021,3,nagaland
TOTAL,36963,116637883.29609635,phek district,2021,3,nagaland
TOTAL,14691,44639115.38971553,longleng district,2021,3,nagaland
TOTAL,59456,170603111.11593843,mokokchung district,2021,3,nagaland
TOTAL,14042,52234088.86802093,kiphire district,2021,3,nagaland
TOTAL,335522,874957891.8906745,kohima district,2021,3,nagaland
TOTAL,30653,109337195.97725664,tuensang district,2021,3,nagaland
TOTAL,19756,57076677.27889877,peren district,2021,3,nagaland
TOTAL,727702,2201388248.147341,dimapur district,2021,3,nagaland
TOTAL,23265,77798029.09900394,zunheboto district,2021,3,nagaland
TOTAL,38482,96937646.11476573,wokha district,2021,3,nagaland
TOTAL,61436,235277660.255216,mon district,2021,4,nagaland
TOTAL,44854,152644732.57078952,phek district,2021,4,nagaland
TOTAL,16341,59818503.44606339,longleng district,2021,4,nagaland
TOTAL,64765,206715301.32699895,mokokchung district,2021,4,nagaland
TOTAL,16058,54423239.57357513,kiphire district,2021,4,nagaland
TOTAL,413753,1056357839.8615553,kohima district,2021,4,nagaland
TOTAL,37106,148350887.52116236,tuensang district,2021,4,nagaland
TOTAL,22569,71109896.9994169,peren district,2021,4,nagaland
TOTAL,886146,2741781159.760858,dimapur district,2021,4,nagaland
TOTAL,25944,81774057.90065697,zunheboto district,2021,4,nagaland
TOTAL,42511,130830504.92018619,wokha district,2021,4,nagaland
TOTAL,57875,63041849.54983255,rayagada district,2018,1,odisha
TOTAL,64106,87612627.38374957,koraput district,2018,1,odisha
TOTAL,12181,13922771.654664017,malkangiri district,2018,1,odisha
TOTAL,135539,130860854.95753448,sambalpur district,2018,1,odisha
TOTAL,101889,56923003.74994819,kalahandi district,2018,1,odisha
TOTAL,173164,139694643.55029076,anugul district,2018,1,odisha
TOTAL,399549,379358026.2266699,ganjam district,2018,1,odisha
TOTAL,362382,204373666.27913067,jajapur district,2018,1,odisha
TOTAL,100526,69991391.85670178,bargarh district,2018,1,odisha
TOTAL,170704,110743455.97829723,dhenkanal district,2018,1,odisha
TOTAL,279644,187375014.25093254,bhadrak district,2018,1,odisha
TOTAL,22483,16219184.747249335,nuapada district,2018,1,odisha
TOTAL,259941,196242627.59467983,kendujhar district,2018,1,odisha
TOTAL,208105,151786389.20530617,mayurbhanj district,2018,1,odisha
TOTAL,85127,99628072.57447763,jharsuguda district,2018,1,odisha
TOTAL,31647,27561407.78923364,kandhamal district,2018,1,odisha
TOTAL,22191,17727797.112559356,deogarh district,2018,1,odisha
TOTAL,193041,185365810.08196718,sundargarh district,2018,1,odisha
TOTAL,226525,119770991.43254161,jagatsinghapur district,2018,1,odisha
TOTAL,122127,99039589.98749083,balangir district,2018,1,odisha
TOTAL,469068,306223509.1455674,baleshwar district,2018,1,odisha
TOTAL,279071,173702320.317419,puri district,2018,1,odisha
TOTAL,65573,33907648.68154905,sonepur district,2018,1,odisha
TOTAL,1013916,1064565482.4430823,khordha district,2018,1,odisha
TOTAL,23736,20293882.499208704,boudh district,2018,1,odisha
TOTAL,27344,28674112.963607132,gajapati district,2018,1,odisha
TOTAL,195162,109752751.4176215,nayagarh district,2018,1,odisha
TOTAL,29925,32425549.032544628,nabarangpur district,2018,1,odisha
TOTAL,189692,109453626.87180772,kendrapara district,2018,1,odisha
TOTAL,487588,391394151.55179805,cuttack district,2018,1,odisha
TOTAL,78405,133934305.0941247,rayagada district,2018,2,odisha
TOTAL,97339,163322729.95992735,koraput district,2018,2,odisha
TOTAL,18334,31113526.612936266,malkangiri district,2018,2,odisha
TOTAL,183165,243114979.82241705,sambalpur district,2018,2,odisha
TOTAL,127537,110202063.26568079,kalahandi district,2018,2,odisha
TOTAL,239863,251270632.8081957,anugul district,2018,2,odisha
TOTAL,516556,659317553.0568262,ganjam district,2018,2,odisha
TOTAL,516443,374915596.3622368,jajapur district,2018,2,odisha
